"country","iso3c","species","year","fao_tonnes_production"
"Australia","AUS","Penaeus shrimps nei",2017,4264.1
"Bangladesh","BGD","Giant tiger prawn",2017,68272
"Bangladesh","BGD","Indian white prawn",2017,2452
"Bangladesh","BGD","Penaeus shrimps nei",2017,7041
"Bangladesh","BGD","Speckled shrimp",2017,3957
"Belize","BLZ","Whiteleg shrimp",2017,500
"Brazil","BRA","Whiteleg shrimp",2017,60000
"Brunei Darussalam","BRN","Blue shrimp",2017,1240
"Cambodia","KHM","Penaeus shrimps nei",2017,1000
"China","CHN","Fleshy prawn",2017,37458
"China","CHN","Giant tiger prawn",2017,75227
"China","CHN","Kuruma prawn",2017,52466
"China","CHN","Penaeus shrimps nei",2017,99212
"China","CHN","Whiteleg shrimp",2017,1080791
"Colombia","COL","Whiteleg shrimp",2017,3700
"Costa Rica","CRI","Whiteleg shrimp",2017,3000
"Cuba","CUB","Whiteleg shrimp",2017,5631
"Ecuador","ECU","Whiteleg shrimp",2017,440000
"El Salvador","SLV","Whiteleg shrimp",2017,1150
"Guatemala","GTM","Whiteleg shrimp",2017,16455
"Honduras","HND","Whiteleg shrimp",2017,31500
"India","IND","Giant tiger prawn",2017,58450
"India","IND","Indian white prawn",2017,1311
"India","IND","Whiteleg shrimp",2017,583400
"Indonesia","IDN","Banana prawn",2017,1132
"Indonesia","IDN","Giant tiger prawn",2017,126191
"Indonesia","IDN","Metapenaeus shrimps nei",2017,29503
"Indonesia","IDN","Whiteleg shrimp",2017,737029
"Iran (Islamic Rep. of)","IRN","Whiteleg shrimp",2017,32332
"Japan","JPN","Kuruma prawn",2017,1354
"Korea, Republic of","KOR","Whiteleg shrimp",2017,5144
"Madagascar","MDG","Giant tiger prawn",2017,5439
"Malaysia","MYS","Giant tiger prawn",2017,10132.92
"Malaysia","MYS","Whiteleg shrimp",2017,35648.04
"Mexico","MEX","Whiteleg shrimp",2017,150029.85
"Myanmar","MMR","Giant tiger prawn",2017,55309.51
"New Caledonia","NCL","Blue shrimp",2017,1450
"Nicaragua","NIC","Whiteleg shrimp",2017,24888
"Panama","PAN","Whiteleg shrimp",2017,7522
"Peru","PER","Whiteleg shrimp",2017,27491.66
"Philippines","PHL","Banana prawn",2017,1744.3
"Philippines","PHL","Giant tiger prawn",2017,46067.6
"Philippines","PHL","Metapenaeus shrimps nei",2017,644
"Philippines","PHL","Whiteleg shrimp",2017,13965.4
"Saudi Arabia","SAU","Whiteleg shrimp",2017,39200
"Sri Lanka","LKA","Giant tiger prawn",2017,4630
"Taiwan Province of China","TWN","Whiteleg shrimp",2017,5000.97
"Thailand","THA","Giant tiger prawn",2017,12962
"Thailand","THA","Whiteleg shrimp",2017,346309
"United States of America","USA","Whiteleg shrimp",2017,1633
"Venezuela, Boliv Rep of","VEN","Whiteleg shrimp",2017,24500
"Viet Nam","VNM","Giant tiger prawn",2017,262936.39
"Viet Nam","VNM","Metapenaeus shrimps nei",2017,6444.64
"Viet Nam","VNM","Whiteleg shrimp",2017,439022.7
